「……私に何か？」	「嗯？谁在呼唤我？」
そう言って%ANAME(TARGET)%は、見目麗しいふさふさの尻尾を%ANAME(MASTER)%に絡ませながら背を預けるように座った	这样说着，%ANAME(TARGET)%一边用美丽的毛茸茸的尾巴缠着%ANAME(MASTER)%一边坐在那里
「尻尾、邪魔じゃないか？　ふふ、じゃあ尻尾も楽しんでくれ♥」	「尾巴不碍事吗？ fufu，那尾巴也好好享受吧♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%の身体に尻尾を絡めて放さないようにしている	%ANAME(TARGET)%的眼里浮现着♥在%ANAME(MASTER)%的身体上缠绕着尾巴不放
%ANAME(TARGET)%は%ANAME(MASTER)%の身体に尻尾を絡めて放さないようにしている	%ANAME(TARGET)%用尾巴缠住%ANAME(MASTER)%的身体不放
「顔が見えないとっ♥何か、興奮するな%ANAME(MASTER)%♥」	「看不见脸的话♥有什么...好兴奋的...%ANAME(MASTER)%♥」
%ANAME(TARGET)%は蕩けた表情で腰をくねらせ、%ANAME(MASTER)%に快感を与えている	%ANAME(TARGET)%带着迷醉的表情扭动着腰、给予着%ANAME(MASTER)%无上的快感
「お前も“初めて”なのか？　…まあ、いいさ。私が動いてやろう」	「你也是第一次吗？　…那么，好吧。由我来动吧」
「実は私“初めて”なんだ。不手際があっても許しておくれ」	「其实我也是第一次。即使有不端之处，也请见谅」
「なんだ、童貞なのか？　ふふ、それはいい。何せ私が…」	「什么啊，是处男吗? 呵呵，那好。毕竟我…」
そう言うと%ANAME(TARGET)%は%ANAME(MASTER)%を優しく押し倒し、怒張した竿の根元をつかんで自らの蕩けた媚肉に押し当てる	这么说着%ANAME(TARGET)%温柔地推倒了%ANAME(MASTER)%，抓住怒张的肉棒按在自己的媚肉上
「お前の“初めて”の女になれるんだからな…♥　さあ、よく見ておくれ。%ANAME(MASTER)%のが童貞卒業するところを…♥」	「因为可以成为你“第一次”对象的女人…♥好了，请仔细看。%ANAME(MASTER)%的童贞毕业的地方…♥」
「大丈夫。優しく犯してあげるからな…♥」	「没关系。我会温柔地侵犯你的…♥」
「なんだ、童貞なのか？　ならば優しく犯してやろう」	「什么啊，是处男吗？那么就温柔地去侵犯吧」
「優しくしてやるからな」	「我会温柔地对待你的」
「ああっ♥　%ANAME(MASTER)%っ♥いいっ♥　いいよぉっ♥♥」	「哈啊...♥　%ANAME(MASTER)%~♥好棒啊♥　好舒服呀♥♥」
%ANAME(TARGET)%は目に♥を浮かべて%ANAME(MASTER)%の上で激しく腰を振っている	%ANAME(TARGET)%的眼里浮现着♥在%ANAME(MASTER)%上激烈地摆动着腰
「止まらないっ♥　%ANAME(MASTER)%を犯すのっ♥止まらないぃっ♥」	「停不下来啊♥　侵犯着%ANAME(MASTER)%♥停不下来啊~♥」
%ANAME(TARGET)%は目に♥を浮かべて前後に腰を振り、%ANAME(MASTER)%に快感を与えている	%ANAME(TARGET)%的眼里浮现着♥前后摆动着腰给予着%ANAME(MASTER)%无上的快感
「ああっ♥　%ANAME(MASTER)%のっ♥いいよぉっ♥♥」	「哈啊...♥　%ANAME(MASTER)%的~♥好棒啊♥♥」
%ANAME(TARGET)%は蕩けた顔で%ANAME(MASTER)%の上で激しく腰を振っている	%ANAME(TARGET)%一副迷醉的样子%ANAME(MASTER)%上激烈地摆动着腰
「%ANAME(MASTER)%を犯すのっ♥キモチいぃっ♥」	「侵犯着%ANAME(MASTER)%♥感觉好棒♥」
%ANAME(TARGET)%は蕩けた顔で前後に腰を振り、%ANAME(MASTER)%に快感を与えている	%ANAME(TARGET)%一副迷醉的样子前后摆动着腰给予着%ANAME(MASTER)%无上的快感
「お前も“初めて”なのか？　…まあ、いいさ。いざとなれば私が動いてやろう」	「你也是“第一次”吗?……那么，好吧。有必要的话，我来动吧」
「初めてなんだ、暴れないでおくれよ？」	「这是第一次，请不要胡闹哦？」
「なんだ、童貞だったのか？　ふふ、それは良かった。何せ私が…」	「什么啊，原来是处男啊？fufu，那太好了。反正我…」
「%ANAME(MASTER)%の“初めて”の女になれるんだからな…♥　さあ、よく見てて。このチンポが童貞卒業するところを…♥」	「因为能成为%ANAME(MASTER)%的第一个女人啊…♥来，仔细看。这个小鸡鸡处男毕业的时候…♥」
「さあ、今から挿れるからよく見ておくれ…♥」	「那么，现在开始插咯，请仔细看…♥」
そう言うと%ANAME(TARGET)%は%ANAME(MASTER)%に背を向けて跨り、怒張した竿の根元をつかんで自らの媚肉に押し当てる	这么说着，%ANAME(TARGET)%背向%ANAME(MASTER)%跨过去，抓住怒张的肉棒，将自己的媚肉推开
「さあ、優しく犯してやるからな…♥」	「那么，温柔地去侵犯吧…♥」
「なんだ、童貞なのか？　ならば優しくしてやろう」	「什么啊，是处男吗？那么就温柔一点吧」
「暴れないでおくれよ？」	「别闹了吧？」
「なんだ、“初めて”だったのか？　それじゃあもうちょっとやりやすい体位が良かったかな…」	「什么啊，是第一次吗？那样的话，更容易做的体位比较好吧…」
「まあ、いいさ。私のココで、キモチよく童貞卒業しておくれ♥」	「好吧，好吧。在我这里，请好好地处男毕业吧♥」
「さあ、いいぞ…。ぎゅぅ、っと抱きしめながら%ANAME(MASTER)%の童貞をおくれ…♥」	「好了，就这样…紧紧地抱着我，把%ANAME(MASTER)%的处男给我…♥」
「尻尾もぎゅっと抱きしめておくれ♥」	「尾巴也紧紧地抱住吧♥」
「私の尻穴…、味わっておくれ♥」	「我的尻穴…、尽情感受吧♥」
「優しく入れておくれよ？」	「温柔地放进去吧？」
「まずはお互いのことをもっと知ることから始めようか」	「首先从了解彼此开始吧」
「まずはお互いのことを知ることから始めましょう」	「首先从彼此相识开始吧」
「何でもない雑談でも、%ANAME(MASTER)%となら幸せな一時になるんだ」	「即使是无聊的闲谈，能与%ANAME(MASTER)%在一起渡过的话也是幸福的一段时间」
%ANAME(TARGET)%は笑顔で%ANAME(MASTER)%との会話を楽しんでいる	%ANAME(TARGET)%笑着享受与%ANAME(MASTER)%的对话
「%ANAME(MASTER)%と話すのはすごく楽しいな…。日々の気疲れが消えていくよ」	「与%ANAME(MASTER)%交谈实在有趣…感觉每天的疲劳都消失了呢」
%ANAME(TARGET)%は優秀であるが故、日々多くの仕事をこなしているがやはり負担は大きいようだ	因为%ANAME(TARGET)%很优秀的缘故，所以每天做很多工作，但负担还是蛮重的
%ANAME(MASTER)%はそれとなく%ANAME(TARGET)%を労わった	%ANAME(MASTER)%让%ANAME(TARGET)%注意别太辛苦了
「ふふ、そんなにヤワではないつもりだよ。でもありがとう、%ANAME(MASTER)%♥」	「fufu，我也没打算做的太过。但是谢谢你，%ANAME(MASTER)%♥」
前に%ANAME(MASTER)%が行ったことのある景色の良い場所について話した	说了关于以前%ANAME(MASTER)%去过的风景秀丽的地方
「今度、そこに行ってみないか？　二人っきりで…な♥」	「下次要不要去那里看看？只有两个人哦…呼呼♥」
「この尻尾？　確かにケアが大変だよ。でも最近は%ANAME(MASTER)%が手伝ってくれて助かってるよ」	「尾巴吗？确实护理很辛苦。但是最近%ANAME(MASTER)%帮了我大忙了」
%ANAME(TARGET)%は%ANAME(MASTER)%の腕を抱きながら寄り添ってきた	%ANAME(TARGET)%一边抱着%ANAME(MASTER)%的手臂一边靠近着
「こうしていると安心するんだ…このまま話しても構わないか？」	「这样的话就安心了…这样可以吗？」
わざわざ断る理由もない。%ANAME(MASTER)%は%ANAME(TARGET)%の申し出を快諾した	也没有什么拒绝的理由。%ANAME(MASTER)%欣然答应了%ANAME(TARGET)%的提议
「ふふ…ありがとう、%ANAME(MASTER)%♥」	「fufu…谢谢你，%ANAME(MASTER)%♥」
「あ！　%ANAME(MASTER)%、あの店の油揚げ料理は絶品だぞ。今度二人で食べに行こう♪」	「啊！%ANAME(MASTER)%，那家店的油炸食品可是极品哦。下次两个人一起去吃吧♪」
%ANAME(TARGET)%は笑顔で%ANAME(MASTER)%との他愛ない会話を楽しんでいる	%ANAME(TARGET)%笑着，与%ANAME(MASTER)%聊着漫无天际的话
「自分では頑張っているつもりなんだが、それでもあの方の期待には添えられていないようで…。己の未熟さを痛感するよ」	「我自认为很努力，但是那个人的期待却没有增加…。痛感自己的不成熟」
「…弱気なところを見せてすまない。%ANAME(MASTER)%が相手だと、何でも話せてしまっていけないな」	「……不好意思让你看到我软弱的一面。如果对方是%ANAME(MASTER)%的话，那就什么都能倾诉呢」
九尾である%ANAME(TARGET)%にも、%ANAME(TARGET)%なりの苦悩があるようだ。それを打ち明けられる関係になれたことがなんとなしに嬉しかった	作为九尾的%ANAME(TARGET)%也有%ANAME(TARGET)%的苦恼。能把这件事坦白出来，我很高兴
%ANAME(MASTER)%は%ANAME(TARGET)%の手を取り、またいつでも話を聞くよ、と告げると%ANAME(TARGET)%ははにかむような笑顔を見せた	%ANAME(MASTER)%牵着%ANAME(TARGET)%的手，告诉她什么时候都可以倾听她说话，%ANAME(TARGET)%露出了腼腆的笑容
「何でもない雑談でも、%ANAME(MASTER)%となら楽しい一時になるよ」	「即使是无聊的闲谈，能与%ANAME(MASTER)%在一起渡过的话也是快乐的一段时间」
「%ANAME(MASTER)%と話すのはとても楽しいな…日々の気疲れが消えていくようだよ」	「与%ANAME(MASTER)%交谈实在有趣…感觉今天的疲劳都消失了呢」
前に%ANAME(MASTER)%が行ったことのある場所について話した	说了关于以前%ANAME(MASTER)%去过的地方
「ゆっくり出来るなら、そこに行って見たいものだな」	「如果有时间的话，真想去那里看看啊」
「お前はきつねうどんとたぬきそば、どちらが好きだ？」	「你喜欢油炸豆腐面还是油炸豆腐面？」
%ANAME(TARGET)%は%ANAME(MASTER)%との会話を楽しんでいる	%ANAME(TARGET)%享受着和%ANAME(MASTER)%的对话
「ほう、私にもまだまだ知らないことがあるんだな」	「这样啊，我也还有很多不知道的事情呢」
「うん、私もそう思うよ」	「嗯，我也这么认为」
「で、その油揚げはどうなったんだ？」	「那么，那个油炸豆腐怎么样了？」
%ANAME(TARGET)%は目を輝かせながら%ANAME(MASTER)%の話を聞いている	%ANAME(TARGET)%眼睛闪闪发光地听着%ANAME(MASTER)%的话
「で、その油揚げはどうなったんです？」	「那么，那个油炸豆腐怎么样了？」
「私もまだまだ知らないことばかりです」	「我也还有很多不知道的事情啊」
「ええ、私もそう思います」	「是的，我也这么认为」
「まずは実力を見せてもらおうか、本気でかかってこい！」	「首先让我看看你的实力吧，认真地对待吧！」
「まずは実力を見せてもらいましょう」	「首先让我看看你的实力吧」
「訓練といえど本気で行くぞ。さあ、%ANAME(MASTER)%も全力で」	「虽说是训练，但我会认真对待的。来吧，%ANAME(MASTER)%也要全力以赴」
「基本はできているようだ。関心関心♪」	「基本上做的不错。関心関心♪」
%ANAME(TARGET)%は%ANAME(MASTER)%の上達ぶりに満足しているようだ	%ANAME(TARGET)%似乎对%ANAME(MASTER)%的进步感到满意
「予想以上の動きだった。私のいない間に訓練でもしていたのか？」	「动作超出了预想。你在我不在的时候也在做训练吗？」
%ANAME(MASTER)%はそのとおりと胸を張った	%ANAME(MASTER)%理所当然地挺起了胸膛
%ANAME(TARGET)%は微笑むと、%ANAME(MASTER)%の頭を優しく撫でた	%ANAME(TARGET)%微笑着，温柔地抚摸着%ANAME(MASTER)%的头
「基本がなってないんだな。いいか、こうして…」	「没有基本啊。听好了，就这样…」
%ANAME(MASTER)%に教えるように図で解説している	%ANAME(MASTER)%像这样用图来解说教导着
「まだまだ粗い、が、中々いい動きもあったよ」	「虽然还很粗糙，但是也有很好的动作哦」
「筋が良い…これは私もうかうかしてられないな」	「肌肉还不错…这样的话我也不能大意啊」
「手加減したほうが良かったですか？」	「手下留情比较好吗？」
「訓練といえど、気は抜きませんように」	「虽说是训练，但也不要放松」
「いい運動になります」	「是个好运动」
「予想以上の動きだった。私のいない間に特訓でもしていたのか？」	「动作超出了预想。你在我不在的时候也在做训练吗？」
「戦は兵が物をいう。それを動かす兵法の習得は必須だ。ちゃんと覚えるんだぞ？」	「战由兵说了算。掌握使之行动的兵法是必须的。你要好好记住啊?」
「戦は兵が物をいいます。それを動かす兵法の習得は必須です」	「战由兵说了算。掌握使之行动的兵法是必须的」
「私は他の大妖怪ほど腕っ節は強くないが、こういう分野なら得意なんだ」	「我虽然没有其他大妖怪那样强大，但是在这个领域我很擅长」
「戦場で危ないと思ったら私の傍に居ろ。必ず守って見せるから」	「如果觉得在战场上危险的话就在我身边。我一定会保护你的」
「古の名将たちのように、華麗に兵を操ってみたいものだ。%ANAME(MASTER)%はどうだ？」	「像古代的名将们那样，想华丽地操纵军队。%ANAME(MASTER)%觉得如何？」
%ANAME(TARGET)%は%ANAME(MASTER)%に兵法の何たるかを熱く語っている	%ANAME(TARGET)%对%ANAME(MASTER)%热情洋溢地讲着兵法
「調子はどうだ？　分からないところがあったら気軽に言ってくれ」	「感觉怎么样？有不明白的地方尽管说」
「私で良ければいつでも%ANAME(MASTER)%の力になるからな」	「如果可以的话，我随时都会成为%ANAME(MASTER)%的力量」
「「戦は兵が物をいう。それを動かす兵法の習得は必須だ」	「战由兵说了算。掌握使之行动的兵法是必须的」
「武を生かすも殺すも策次第。覚えると病みつきになるぞ」	「无论是活用还是杀死，都要取决于对策的。记住的话就会感觉好很多」
「考えることは好きだ。%ANAME(MASTER)%はどうだ？」	「我喜欢思考。%ANAME(MASTER)%觉得如何？」
「武を生かすも殺すも策次第です」	「无论是活用还是杀死，都要取决于对策的」
「考えることは好きです」	「我喜欢思考」
「式の本領発揮だな」	「要发挥本式神的本领了」
「式の本領をお見せします」	「让你看看本式神的本领」
「政治に興味がある？　それは結構！　政は戦いとは違った楽しみがあるぞ%ANAME(MASTER)%！」	「对政治有兴趣吗？那很好！政治和战斗有着不同的乐趣哦%ANAME(MASTER)%！」
%ANAME(TARGET)%は%ANAME(MASTER)%に政の奥深さを語っている	%ANAME(TARGET)%向%ANAME(MASTER)%讲述了政治的奥秘
%ANAME(TARGET)%はものすごい速さで書類の山を片付けている	%ANAME(TARGET)%以惊人的速度处理着堆积如山的文件
「%ANAME(MASTER)%、もうちょっと待っててくれ。すぐ終わるから」	「%ANAME(MASTER)%，再稍等一下。马上就结束了」
%ANAME(TARGET)%は、人間なら一日がかりであろう仕事量を１時間足らずで終わらせてしまった	%ANAME(TARGET)%在不到一个小时的时间内完成了普通人一天的工作量
「ふふん、結界の管理・修復に比べたら軽いものだよ」	「fufu，和结界的管理与修复相比这算轻松的」
%ANAME(TARGET)%は得意げに%ANAME(MASTER)%にアピールしている	%ANAME(TARGET)%得意地向%ANAME(MASTER)%夸耀着
「こういうのは私の得意分野だな」	「这是我擅长的领域啊」
%ANAME(TARGET)%はすごい速さで書類の山を処理している	%ANAME(TARGET)%以惊人的速度处理着堆积如山的文件
「こういう仕事は私の得意とするところだ」	「这种工作是我的拿手的」
「式の本領発揮です」	「发挥本式神的本领」
「こういうのは私の得意分野です」	「这是我的拿手好戏」
「秩序を保つためにも見回りは大切な仕事だ」	「为了保持秩序，巡视也是很重要的工作」
「秩序を保つためにも見回りは必要です」	「为了保持秩序也需要巡视」
「あ、%ANAME(MASTER)%。あそこの稲荷寿司な、油揚げの味付けが絶品なんだ。今度一緒に行かないか？」	「啊，%ANAME(MASTER)%。那里的稻荷寿司，油炸豆腐的味道真是绝品。下次一起去吧？」
%ANAME(TARGET)%は見回りの途中、お気に入りの店を%ANAME(MASTER)%に紹介している	%ANAME(TARGET)%在巡视途中，把自己喜欢的店介绍给了%ANAME(MASTER)%
「分かった。さあ行こう、%ANAME(MASTER)%」	「知道了。那么走吧，%ANAME(MASTER)%」
%ANAME(TARGET)%は%ANAME(MASTER)%の腕を取って歩いている	%ANAME(TARGET)%挽着%ANAME(MASTER)%的手臂走着
「公私は分けるべきとは思うんだが…、一緒にいるとついつい甘えたくなってしまう…」	「公私应该分明…但在一起的时候不知不觉就想撒娇了…」
%ANAME(TARGET)%は%ANAME(MASTER)%の腕に抱きつきながら見回りしている	%ANAME(TARGET)%抱住%ANAME(MASTER)%的手臂环视着
「妖のたぐいは私が見張る。そっちは人間のゴロツキ等がいたら頼む」	「我来监视妖怪之类的。如果那里有人类找麻烦的话就拜托你了」
「私が見回れば、木っ端妖怪は大人しくしているだろう」	「我巡查的话，小妖会很老实很多吧」
「秩序を保つためにも見回りは必要なものだ。しっかりやろう」	「为了保持秩序，巡视也是必要的。好好干吧」
「私が見回れば、木っ端妖怪は大人しくしていましょう」	「我看了一下，小妖怪还蛮老实的」
「…歌は苦手なんだ」	「…我不擅长唱歌啊」
「…歌は苦手です」	「…我不擅长唱歌」
「…今のところ、抑揚がおかしくなかったか？」	「…到目前为止，音调会奇怪吗？」
%ANAME(TARGET)%は真面目に発声練習に精を出している	%ANAME(TARGET)%认真地致力于发声练习
「喋るだけとは勝手が違って…」	「这和光说是不一样的…」
「ある程度は出来るつもりだけど、料理上手というほどでは…」	「我想一定程度上可以做，但并不是说是我擅长的料理……」
「そこそこくらいなら出来ますよ」	「差不多的话就可以」
「何？　味見させてほしい？　仕方ないなぁ、ほら、あーんして」	「什么...你想让我喂你？...真没办法啊，来，啊~~」
%ANAME(MASTER)%が口を開けると、%ANAME(TARGET)%はその要望に応えた	%ANAME(MASTER)%嘴巴张着、%ANAME(TARGET)%回应了这个要求
%ANAME(MASTER)%が美味しいと伝えると、%ANAME(TARGET)%は満足そうに微笑んだ	当%ANAME(TARGET)%告诉她%ANAME(MASTER)%很好吃时，她满足地微笑着
「口に合うだろうか…どうかな？」	「合不合口味…觉得怎么样？」
%ANAME(MASTER)%は素直に%ANAME(TARGET)%の料理を絶賛した。%ANAME(TARGET)%も得意げな顔で%ANAME(MASTER)%を見つめている	%ANAME(MASTER)%坦率地称赞了%ANAME(TARGET)%的料理。%ANAME(TARGET)%也得意地看着%ANAME(MASTER)%
「私の料理を食べて、笑顔になってくれるだけで嬉しいんだ」	「吃了我做的料理，只要你露出笑容我就很开心了」
「良かったら…、これからも食べて欲しいな…」	「如果可以的话…希望今后你也能一直吃下去…」
「紫様はお忙しい方なので、大体の食事は私が用意しているんだ」	「因为紫大人很忙，所以大部分的饭都是我准备的」
%ANAME(TARGET)%は手際よく下ごしらえをこなしている	%ANAME(TARGET)%手没停地说着
「料理はけっこう作ったりしているよ」	「做了很多料理哦」
%ANAME(TARGET)%は手際よく食材に包丁を入れている	%ANAME(TARGET)%很灵巧地用菜刀切菜
「普段から包丁は触ってますので」	「因为平时就经常碰菜刀」
「凝った物は作れませんが、これくらいなら…」	「我做不出精致的东西，但如果是这个程度的话…」
「式が剥がれないかって？　これくらいの対策は万全だよ」	「式符会不会剥落？这已经做好了完全的对策了」
「式が剥がれないかって？　これくらいの対策は万全です」	「式符会不会剥落？做了完全的对策了」
「こうしてくっついていると温もりを感じて…二人で溶け合うようだな…♥」	「这样粘在一起的话会感到温暖……两个人好像融合在一起了呢…♥」
「たまには、こういうのもいいものだな♥」	「偶尔这样也不错啊♥」
「もっと…くっついてもいいんだぞ♥」	「更…可以更多地粘在一起哦♥」
「あんまり変なとこは触らないでくれよ？」	「不要碰太奇怪的地方哦？」
「まぁ、親交を深めるには有りですが…」	「嘛，虽然有加深亲密交往的必要…」
%ANAME(TARGET)%は尻尾を広げて%ANAME(MASTER)%を誘っている	%ANAME(TARGET)%张开尾巴，诱惑着%ANAME(MASTER)%
「ふふ♥　お前の好きにしていいんだぞ？」	「fufu♥　可以随你喜欢哦？」
%ANAME(MASTER)%はその誘惑に乗っかり、尻尾に飛びついて幸せのモフモフタイムを堪能した	%ANAME(MASTER)%被诱惑着，扑向尾巴，享受着幸福的mofumofu时间
「ふふ♥　私の尻尾、いい手触りだろう？　お前ならいくらでも触っていいんだぞ♪」	「fufu♥　我的尾巴，手感不错吧？如果是你的话，不管怎么碰都可以哦♪」
「あ…♥　エッチな触り方だな。でも%ANAME(MASTER)%なら、もっと先まで構わないぞ♥」	「啊…♥　真是瑟琴的抚摸方式啊。但是如果是%ANAME(MASTER)%的话吗，可以更进一步哦♥」
%ANAME(TARGET)%は自慢の尻尾で%ANAME(MASTER)%の顔を撫でるように弄んでいる	%ANAME(TARGET)%用自己引以为傲的尾巴抚摸着%ANAME(MASTER)%的脸
「ふふ♥　蕩けた良い顔だ…そんなに私の尻尾が好きなのか。もっとしてやるからな♥」	「fufu♥　真是一脸好色的样子啊…这么喜欢我的尾巴吗。那么就再给你做更多♥」
%ANAME(MASTER)%は%ANAME(TARGET)%の尻尾を堪能しつつ、お尻をそっと撫でた	%ANAME(MASTER)%一边享受着%ANAME(TARGET)%的尾巴，一边轻轻抚摸着她的臀部
「あんっ♥　…もう、%ANAME(MASTER)%ったら。そんな触り方では欲求不満になっちゃうぞ♥」	「哈啊♥　…呜、%ANAME(MASTER)%桑。这种触摸方式只会让人欲求不满哦♥」
「この尻尾は私の自慢なんだ。%ANAME(MASTER)%にだったら好きにしていいからな♥」	「这尾巴是我的骄傲。但如果是%ANAME(MASTER)%的话那就随你喜欢摆弄吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%に抱きつきながらふわふわの尻尾を絡めてくる	%ANAME(TARGET)%一边抱着%ANAME(MASTER)%一边还用蓬松柔软的尾巴缠绕着在一起
「んん…♥　もっと触っておくれ……♥」	「嗯…♥请再多摸一些……♥」
%ANAME(MASTER)%は%ANAME(TARGET)%の大きな尻尾を存分にモフモフしている	%ANAME(MASTER)%尽情地抚摸着%ANAME(TARGET)%的大尾巴
「尻尾に包まれてみたい？　ふふ、贅沢なお願いだな。さあ、おいで♥」	「想被尾巴包围吗？fufu，真是奢侈的愿望啊。好吧，过来这边♥」
%ANAME(TARGET)%は%ANAME(MASTER)%をふわふわの尻尾で抱き包んだ	%ANAME(TARGET)%用软绵绵的尾巴抱住了%ANAME(MASTER)%
そのモフモフ具合は極上の感触で、%ANAME(MASTER)%はしばし恍惚としていた…	那mofumofu的极好的触觉，%ANAME(MASTER)%暂时恍惚着…
%ANAME(MASTER)%が%ANAME(TARGET)%と触れ合っていると、%ANAME(TARGET)%は尻尾で%ANAME(MASTER)%を抱き寄せてきた	当%ANAME(MASTER)%和%ANAME(TARGET)%接触的时候，%ANAME(TARGET)%用尾巴抱着%ANAME(MASTER)%
「ふふ♥　もっと%ANAME(MASTER)%の温もりを感じさせておくれ…」	「fufu♥请让我感受更多%ANAME(MASTER)%的温暖…」
「%ANAME(MASTER)%。すまないがちょっとマッサージをしてくれないか？　お前に触ってもらえたらコリも解れると思うんだ」	「%ANAME(MASTER)%。不好意思，能帮我按摩一下吗？我想如果能让你按摩我的话，我想酸痛也能缓解」
%ANAME(MASTER)%が愛情を込めた肩揉みマッサージを始める。指が柔肌を揉み込む度、%ANAME(TARGET)%が恍惚とした艶声を漏らす	%ANAME(MASTER)%带着爱意开始按摩肩膀。每当手指揉进柔软的肌肤，%ANAME(TARGET)%就会露出恍惚的艳声
「ぁん、…はぁ…♥…とても気持ち良いよ、%ANAME(MASTER)%。…次は背中とか…腰とかもお願いしたいな…♥」	「嗯…哈…♥…很舒服哦，%ANAME(MASTER)%。…接下来是背…腰什么的也拜托你了…♥」
%ANAME(TARGET)%は目を細め、もっと触って欲しいというように身体をいやらしくくねらせ%ANAME(MASTER)%を誘惑している	%ANAME(TARGET)%眯起眼睛，不安地扭动身体，想要更多的触摸的诱惑着%ANAME(MASTER)%
「ふふ♥　好きにしてもいいんだぞ？」	「fufu♥ 可以随你喜欢责弄哦？」
%ANAME(MASTER)%はその言葉に従い、尻尾に飛びついてモフモフを堪能した	%ANAME(MASTER)%遵从她的话，扑到了尾巴上，十分满足
「ふふ…私の尻尾、いい手触りだろう？　もっと触っていいんだぞ♪」	「fufu…我的尾巴触感很好吧？可以再摸一下哦♪」
「ふふ…エッチな触り方だが…%ANAME(MASTER)%なら許してやるぞ♥」	「呵呵…真是色情的触摸方式呢…但如果是%ANAME(MASTER)%的话我就原谅你♥」
「あんっ、…もう、変なところ触って。オシオキだ♥」	「嗯…快摸到奇怪的地方了~是骗你的~♥」
%ANAME(TARGET)%は自慢のふわふわ尻尾で%ANAME(MASTER)%の顔を撫でるように弄んでいる	%ANAME(TARGET)%用它引以为傲的蓬松尾巴抚摸着%ANAME(MASTER)%的脸。
%ANAME(MASTER)%は%ANAME(TARGET)%の尻尾を堪能しつつ、尻をそっと撫でた	%ANAME(MASTER)%一边享受着%ANAME(TARGET)%的尾巴，一边轻轻抚摸着她的臀部
「ひゃんっ　…もう、%ANAME(MASTER)%ったら♪」	「啊啦…过界了哦，%ANAME(MASTER)%~♪」
%ANAME(TARGET)%は声を上げながらも%ANAME(MASTER)%の手を払おうとはせず、むしろもっと触って欲しいとばかりに身体を寄せてきた	%ANAME(TARGET)%一边说着，却没有拂去%ANAME(MASTER)%的手，反而是想让%ANAME(TARGET)%更多触摸似的将身体靠了过来。
「尻尾に入ってみたい？　ふふ、良いとも。さあどうぞ♥」	「想进入尾巴吗？fufu，好的。来吧♥」
%ANAME(TARGET)%は%ANAME(MASTER)%にふわふわの尻尾を向けてくれた	%ANAME(TARGET)%把软绵绵的尾巴朝向了%ANAME(MASTER)%
「%ANAME(MASTER)%。すまないがちょっと肩を揉んでくれないか？　最近疲れが溜まり気味で…」	「%ANAME(MASTER)%。对不起，可以帮我揉肩吗？最近有点累了…」
%ANAME(MASTER)%は%ANAME(TARGET)%のお願いに応え、労わる気持ちを込めてマッサージを始める	%ANAME(MASTER)%回应了%ANAME(TARGET)%的请求，带着犒劳的心情开始按摩
「んん…はぁ……良い力加減だ。とても気持ち良いよ、%ANAME(MASTER)%…」	「嗯…哈……力量很不错。很舒服哦，%ANAME(MASTER)%…」
%ANAME(TARGET)%は目を細めて恍惚とした様子で%ANAME(MASTER)%に肩を揉ませている	%ANAME(TARGET)%眯起眼睛神情恍惚地让%ANAME(MASTER)%揉着肩膀
「尻尾、触りたいか？　%ANAME(MASTER)%になら許すぞ」	「想摸尾巴吗？如果是%ANAME(MASTER)%的话就原谅你」
%ANAME(TARGET)%はスキンシップを図る%ANAME(MASTER)%に自慢の尻尾を絡ませている	%ANAME(TARGET)%向谋求亲密接触的%ANAME(MASTER)%身上缠绕着引以为豪的尾巴
「尻尾でくすぐられるの、嬉しそうだな…♪」	「被尾巴挠了，看起来很开心啊…♪」
「私の尻尾がそんなに気になるか？」	「你那么在意我的尾巴吗？」
%ANAME(TARGET)%の問いに、%ANAME(MASTER)%は首を縦に振って肯定した	对于%ANAME(TARGET)%的提问，%ANAME(MASTER)%点着头肯定了
「ふむ…じゃあちょっとだけだぞ？　優しく触っておくれよ」	「嗯…那么只能一点点哦？请温柔地触摸哦」
「ちょっと肩を叩いてくれないか？　最近疲れることが多くて…」	「可以帮我拍一下肩膀吗？最近累的事很多…」
「手を繋ぎたいか？　…ふふ、これくらいいつでも言ってくれ」	「想牵手吗？　…呵呵，这些话什么时候都可以说」
「そんなに尻尾が気になるか？」	「你那么在意尾巴吗？」
%ANAME(MASTER)%は尻尾を触ってみたい旨を伝えた	%ANAME(MASTER)%告诉他想摸摸尾巴
「ふうん…でもまだ駄目だ。そんな安い尻尾じゃないぞ」	「嗯…但是还不行。我的尾巴不是那么随便能摸的」
「あんまりへんなとこは触るんじゃないぞ？」	「不要碰太奇怪的地方哦？」
「手を繋ぎたい？　まあ、それくらいは…」	「想牵手吗？那么，就一下…」
「尻尾が気になりますか？　でも触らないようにしてくださいね。手入れが大変ですので」	「你在意尾巴吗？但是请不要碰哦。因为护理很麻烦的」
「へんな所は触らないでください」	「请不要碰奇怪的地方」
「手を繋ぎたい？　まあ、それくらいなら…」	「想牵手吗？嗯，那样的话…」
%ANAME(MASTER)%は%ANAME(TARGET)%に甘えるように抱きついた	%ANAME(MASTER)%像在%ANAME(TARGET)%中撒娇般地抱住了她
