ようやく今日の分の仕事が終わった	今天的工作终于结束了
「きゃぁんっ♥　いちばん奥に、貴方の……♥」	「啊啊啊♥在最里面，你的……♥」
%ANAME(対象)%はそっと耳元で囁きながら中出しを切望する	%ANAME(対象)%悄悄地在耳边轻声细语着，渴望中出
応えてやろうと%ANAME(MASTER)%は残りの精液を植えつけるべく腰の動きを速めた	%ANAME(MASTER)%为了回应她，加快了腰的动作，准备种剩下的精液
極限まで高まっていくボルテージに身を焦がしながら、二人は果てるまで性器を打ち付けあった…	在将身体燃烧到极限的舞台上，两人一直到最后都被打上了生殖器…
「もう♥　もう……ダメぇぇぇっ♥♥♥♥」	「已经♥已经……不行啊♥♥♥♥」
%ANAME(対象)%に思いっきり腰を打ち付ける%ANAME(MASTER)%	%ANAME(MASTER)%尽情地坐在%ANAME(対象)%的身上
「きゃぅっ♥」	「哦，哦♥」
腰を打ちつけた後、膣内からゆっくりとペニスが抜ける直前まで腰を引く	腰部打结后，从阴道内慢慢地到阴茎脱落之前拉直腰
「はぁ、はぁ……ぁ……♥」	「哈、哈……啊……♥」
%ANAME(対象)%が残念そうな表情をして接合部分を見つめる	%ANAME(対象)%露出遗憾的表情凝视着接合部分
その反応を確かめると、再び思いっきり腰を打ちつけた	确认了那个反应后，再一次痛痛快快地坐下了
「んぁあんっ♥　……もう、じらさ、ないでぇ……」	「嗯，嗯♥　……算了，别卖关子了……」
%ANAME(対象)%は切なそうな表情をしている	%ANAME(対象)%的表情很悲伤
今度は速いストロークで激しく腰を打ち付ける	这次用快球猛击腰
「ふぁあっ♥ ぁ、んぁっ♥　あんっ♥」	「啊啊啊啊♥ 啊，嗯♥嗯♥」
「あっ♥　はげし……ぁ、やぁぁああんっ♥」	「啊♥秃子……啊，呀啊啊啊♥」
「……ふふっ、やっぱりこの体勢、安心できるわ……」	「……呵呵，果然这个姿势，可以放心啊……」
「だって、あなたの姿を真正面から見れるんだもの……」	「因为，能从正面看到你的身影……」
その言葉を聞いて胸がドキリと高鳴る%ANAME(MASTER)%	听到这句话，我的心怦怦地跳动
「んっ♥　ぁ……ふふっ♥　今、おおきくなった♥」	「嗯♥啊……呵呵呵♥现在长大了♥」
%ANAME(MASTER)%は気恥ずかしくなり目を逸らす	%ANAME(MASTER)%因为害羞而移开视线
すると%ANAME(対象)%は両腕を首に絡ませて抱きついてきた	然后%ANAME(対象)%将双臂搂住脖子抱住
「恥ずかしがらないでいいわよ……ね、動いて？」	「别害羞了……喂，动一下？」
%ANAME(MASTER)%は我慢がきかなくなり、腰を激しく動かした	%ANAME(MASTER)%受不了了，腰剧烈地动了起来
「あ♥　ぁ、んぁあっ♥　ふぁ、はぁあんっ♥」	「啊♥啊，嗯啊♥啊，哈哈♥」
「%ANAME(MASTER)%っ♥　 んぁっ♥　大好き……ぁあんっ♥」	「%ANAME(MASTER)%♥嗯啊啊♥最喜欢……啊啊啊♥」
%ANAME(MASTER)%は%ANAME(対象)%を押し倒し、四つん這いの%ANAME(対象)%の秘裂にバックからペニスを突き入れ腰を動かした…	%ANAME(MASTER)%推倒了%ANAME(対象)%，从背后把阴茎刺入了爬在四座的%ANAME(対象)%的秘裂，动了腰…
バックから%ANAME(対象)%の膣内を激しく往復する	从背后激烈地往返于%ANAME(対象)%的阴道内
「ぁあんっ♥　あっ♥　いい、%ANAME(MASTER)%……♥」	「啊啊啊♥啊♥好，%ANAME(MASTER)%……♥」
「膣内で♥　貴方のが♥　暴れて……んぁあっ♥」	「在阴道内♥你的♥暴走……嗯啊啊♥」
%ANAME(対象)%のお尻と尻尾が可愛く揺れている	%ANAME(対象)%的屁股和尾巴摇得很可爱
腰を動かしながら尻尾を優しい手つきで撫でてやる	一边动着腰，一边用温柔的手抚摸尾巴
「んきゃぁっ！？」	「啊啊啊！？」
突然撫でられて驚いたらしい、膣内がペニスをぎゅうぎゅうと締め付けてくる	突然被抚摸了一下，好像吓了一跳，阴道内紧紧地勒紧了阴茎
%ANAME(MASTER)%は射精してしまいそうになったが理性を総動員して押さえ込んだ	%ANAME(MASTER)%快要射精了，但还是动员了理性将其压制住
そして再び腰を激しく前後に動かす	然后再次剧烈地前后移动腰
「んぁっ♥　あぁっ♥　やぁ、イッちゃうぅっ♥♥」	「嗯啊啊♥啊啊啊♥呀，我要♥♥」
後ろから%ANAME(対象)%をいきり勃つ肉棒で犯す%ANAME(MASTER)%は、空いた両腕で%ANAME(対象)%の胸を揉み始める	从背后用勃起的肉棒侵犯%ANAME(対象)%的%ANAME(MASTER)%，用空着的双臂开始揉%ANAME(対象)%的胸
「後ろからだと、一番気持ちいいとこに擦れて……んぁっ♥」	「从后面开始，擦到最舒服的地方……嗯啊啊♥」
余りの気持ちよさに膣内が締め付けられ、余計にカリが膣壁を刺激する	阴道内被过分的舒适性勒紧，更加雁刺激阴道壁
「すごく♥　気持ちいい……んっ♥　はぁっ♥」	「非常♥好舒服……嗯♥哈♥」
「んっ♥　くぅんっ♥　それに……深くまで入ってきて……んぁあっ♥　ひぁっ♥」	「嗯♥嗯，嗯♥而且……深入地进入……嗯啊啊♥啊啊啊♥」
まるで本当に犯しているようで、%ANAME(MASTER)%の肉欲は止まることなく、部屋には性器を打ち付ける音と嬌声が響き続けた…	简直就像真的犯了一样，%ANAME(MASTER)%的肉欲没有停止，房间里不断传来打生殖器的声音和娇声…
愛液に満ちた%ANAME(対象)%の蜜壺を%ANAME(MASTER)%の熱い剛直が蹂躙する	%ANAME(MASTER)%的热血刚直蹂躏着充满爱液的%ANAME(対象)%的蜜罐
責め続けられて腕で上半身を支え切れなくなり、力無くベッドへ倒れ臥す	一直被责备，无法用手臂支撑上半身，无力地躺在床上
「んぅっ♥　……ぁ、はぁんっ♥」	「嗯♥　……啊，哈♥」
「%ANAME(MASTER)%のが ……奥に、当たって……♥」	「%ANAME(MASTER)%的……猜到里面……♥」
奥を貫くたびに%ANAME(対象)%が甘い悲鳴を漏らす	每次贯穿深处%ANAME(対象)%都会发出甜美的悲鸣
その可愛い声をもっと聞きたくなり、%ANAME(MASTER)%は腰の速度を早める	想听到更多可爱的声音，%ANAME(MASTER)%加快了腰的速度
「んぁあっ♥　ちょ、はや……あっ♥　あっ♥　ふぁんっ♥」	「嗯啊啊♥等、哎呀……啊♥啊♥嗯，嗯♥」
快楽に墜ちて思考がまったく回らなくなった%ANAME(対象)%を、%ANAME(MASTER)%はまだ足りぬと膣内を犯し続けた…	陷入快乐思考完全转不过来的%ANAME(対象)%，%ANAME(MASTER)%认为还不够而继续在阴道内犯下…
「ん♥　ぁあっ♥　奥まで、きてるのぉっ……♥」	「嗯♥啊啊啊♥到里面来了啊……♥」
尻だけ上げてベッドに倒れこむ%ANAME(対象)%に%ANAME(MASTER)%は覆いかぶさるようにして腰を動かす	%ANAME(MASTER)%为了让只抬起屁股就倒在床上的%ANAME(対象)%遮住了自己的腰
あとは%ANAME(MASTER)%から与え続けられる快感に身を委ねて嬌声を発し続ける	然后将身体交给%ANAME(MASTER)%带来的快感，继续娇声细语
種付けする為に腰を振り続ける%ANAME(MASTER)%に、%ANAME(対象)%は雌としての幸福感に浸っていた…	%ANAME(対象)%沉浸在为了播种而一直摆动着腰的%ANAME(MASTER)%中，沉浸在作为母的幸福感中…
腰を打ち付けるたびに%ANAME(対象)%の柔らかそうなお尻がぷるぷると波打っている	每一次坐下，%ANAME(対象)%柔软的屁股便扑哧扑哧地拍打着
%ANAME(対象)%のお尻を両手で撫でながら、腰を時計回りにぐるぐると回す	双手抚摸着%ANAME(対象)%的屁股，腰顺时针转动
「んぁあっ♥　膣内、かき回さないでぇっ……♥」	「嗯啊啊♥阴道内请不要搅拌……♥」
再び激しく腰を前後に動かす	腰再剧烈地前后挪动
「ひんっ♥　んぁあっ♥　気持ち、い、ぃやああぁんっ♥」	「一个♥嗯啊啊♥心情，不，不，不♥」
%ANAME(MASTER)%も腰を激しく動かし始める	%ANAME(MASTER)%也开始剧烈地活动腰
「んぅっ♥　はげ、し……やぁんっ♥」	「嗯♥秃子、干……哎呀♥」
%ANAME(対象)%が後ろへ手を伸ばしてきた	%ANAME(対象)%向身后伸出手
%ANAME(MASTER)%は四つん這いになった%ANAME(対象)%の腰を掴み愛液が飛び散る程の速さでピストンする	%ANAME(MASTER)%抓住爬成四级的%ANAME(対象)%的腰，以爱液飞溅般的速度活塞
「んぁあっ♥　%ANAME(MASTER)%っ♥　%ANAME(MASTER)%……っ♥」	「嗯啊啊♥%ANAME(MASTER)%♥%ANAME(MASTER)%……嗯♥」
「んぁ、ぁぁあああ～～～♥♥♥」	「嗯，啊啊啊～～♥♥♥」
受ける%ANAME(対象)%は抑えきれぬボルテージに、上半身を大きくのけ反らして喘ぎ続ける…	受%ANAME(対象)%无法抑制的伏特治，将上半身大幅向后仰继续喘息…
「んぁっあ♥　あっ♥　ふぁあっ♥」	「嗯啊啊♥啊♥啊啊啊啊♥」
「%ANAME(MASTER)%の……膣内でどんどん大きくなって、る……♥」	「%ANAME(MASTER)%的……在阴道内渐渐变大……♥」
「ねぇ、そろそろイキそう……？ 私も、もうっ♥」	「喂，差不多该有活力了……？我也要♥」
「もう♥　もぅ♥　あぁっ♥」	「已经♥已经♥啊啊啊♥」
「んぅっ♥　くっ♥　ぁはぁあんっ♥」	「嗯♥呸♥啊啊啊啊啊♥」
%ANAME(対象)%の片腕を引き寄せて、更に腰を打ち付ける	把%ANAME(対象)%的一只手拉到跟前，再坐下
「んぁあっ！？ この姿勢、奥まで……ぁうっ♥」	「嗯啊！？这个姿势，到里面去……啊啊♥」
「すごぉい♥　届いてる、奥にぃっ……♥♥♥」	「好厉害♥送到了，在里面……♥♥♥」
%ANAME(対象)%は%ANAME(MASTER)%を抱き締めながら腰を降ろして、秘裂で%ANAME(MASTER)%のペニスを飲み込んだ…	%ANAME(対象)%一边抱住%ANAME(MASTER)%一边坐下，以秘密破裂吞噬了%ANAME(MASTER)%的阴茎…
「んっ♥　ぁっ♥　……あっ、はぁんっ♥」	「嗯♥啊啊♥　……啊，哈哈♥」
今度は%ANAME(対象)%の胸に吸い付き、乳首を舌でコロコロと転がす	这次吸到了%ANAME(対象)%的胸部，用舌头咕噜咕噜地滚动乳头
「んはぁっ♥」	「嗯哈哈♥」
気持ち良かったのか、%ANAME(対象)%の体がエビ反りになる	不知是不是心情舒畅，%ANAME(対象)%的身体翻了个筋斗
胸への愛撫を続けながら腰の動きを再開する	一边对胸部持续爱抚，一边重新开始腰部的活动
「は、ぁっ♥　……%ANAME(MASTER)%……っ♥」	「哈，啊♥　……%ANAME(MASTER)%……嗯♥」
「ふふっ♥　ねぇ……これはどう？ 気持ちいい？」	「呵呵呵♥呐……这个怎么样？舒服吗？」
そう言って%ANAME(対象)%は腰をグリグリと回してくる	这样说着，%ANAME(対象)%把腰咕哩咕哩地扭了起来
ペニスに与えられる不規則な快感に%ANAME(MASTER)%は思わず顔をしかめる	%ANAME(MASTER)%不由得皱起眉头，因为阴茎不规则的快感
「ふふ、気持ち良さそうね……んっ♥　あっ……♥」	「呵呵，感觉很舒服呢……嗯♥啊……♥」
腰を動かしている%ANAME(対象)%自身も大分感じてきているようだ	动着腰的%ANAME(対象)%自己也感觉到了很多
%ANAME(MASTER)%は腰を前に突き出す	%ANAME(MASTER)%向前伸腰
「んぅっ♥　ぁはぁっ♥　ん、やぁあっ……♥」	「嗯♥啊啊啊啊啊♥嗯，哎呀……♥」
「ふむ………、んちゅっ………♥」	「嗯………嗯，嗯………♥」
二人はベッドの上で濃厚なキスを繰り返し、抱き合いながら互いを求めあう身体を重ねる	两人在床上重复着浓烈的接吻，抱在一起互相寻求对方的身体重叠在一起
「んぅっ♥　ぁ、はぁっ♥」	「嗯♥啊，哈♥」
舌でお互いの口内を犯しながら、性器でも体液を分泌して飽きずに抽挿をし続ける	一边用舌头在口腔内犯下错误，一边用生殖器分泌体液，不腻烦地持续抽插
%ANAME(対象)%は%ANAME(MASTER)%から与えられ続ける快感に悶えている	%ANAME(対象)%为%ANAME(MASTER)%持续给予的快感而烦恼
「んっ♥　くっ、はぁっ……♥」	「嗯♥呜、哈……♥」
%ANAME(MASTER)%は%ANAME(対象)%を抱きしめて腰の動きを早めた	%ANAME(MASTER)%抱着%ANAME(対象)%加快了腰的动作
「%ANAME(MASTER)%っ♥　私、きちゃうぅっ……♥」	「%ANAME(MASTER)%♥我会的……♥」
動きは徐々に激しくなり、淫らな腰つきで二人は動いていった…	动作渐渐激烈起来，两人以淫荡的姿势移动着…
「ふぁ♥　ぁああんっ♥」	「呵♥啊啊啊啊♥」
「んっ♥　……くっ、はぁっ♥」	「嗯♥　……呜、哈♥」
%ANAME(MASTER)%のペニスの長さに合わせて腰を振る幅を調整し、テンポよく膣壁で勃起する男根を貪る	配合%ANAME(MASTER)%阴茎的长度调整摆动腰的幅度，有节奏地贪图在阴道壁勃起的男根
「もっと、きて……♥　もっと、激しくっ……♥」	「再来一点……♥更加激烈……♥」
%ANAME(対象)%は脚を絡めてきて更なる激しさを求める	%ANAME(対象)%缠住脚寻求更激烈的力量
膣内がキュッと締まって%ANAME(MASTER)%のペニスを圧迫する	阴道内紧闭压迫%ANAME(MASTER)%阴茎
負けじと腰の速度を上げる%ANAME(MASTER)%	不服输提高腰的速度的%ANAME(MASTER)%
パンパンと淫らな音が響くなか%ANAME(対象)%は得られる快感に身を捩りながら、軽いキスをして献身的に腰を弾ませていった…	在淫乱的声音中，%ANAME(対象)%得到了快感，身体一边扭动着，一边轻吻着她，忘我地弹着腰…
「ぁ、あっ♥　%ANAME(MASTER)%っ♥　んんっ♥」	「啊，啊♥%ANAME(MASTER)%♥嗯，嗯♥」
ゆっくりと%ANAME(対象)%の膣内にペニスを出し入れをする	慢慢地在%ANAME(対象)%的阴道内拿出阴茎
しかし、それだと物足りないのか、%ANAME(対象)%は自分から腰を振ってくる	但是，这样的话总觉得有点欠缺，%ANAME(対象)%自己开始摇起腰来
「ふふっ……遠慮しないでいいのですよ？ もっと……♥」	「呵呵……不用客气？更多……♥」
お互い手足で強く抱きしめ合い、快楽に滾る身体を弾ませていく	两人用手脚紧紧地拥抱在一起，让快乐的身体沸腾起来
「激しく……動いて？ ……んむっ♥」	「激烈地……移动……嗯，嗯♥」
上下に動く度に膣壁に当たるカリの快感に、お互い身体を小さく痙攣させる	每次上下移动都能感受到贴在阴道壁上的钾的快感，让身体小小地痉挛
接合部から響く卑猥な水音に興奮しつつ、%ANAME(MASTER)%は射精が近い肉棒で子宮口を叩き始めた…	在兴奋于从接合处传来的猥亵水声的同时，%ANAME(MASTER)%开始用射精附近的肉棒敲打子宫口…
「んぁあっ♥　そう、もっとっ♥　動いてぇっ♥　はぁあんっ♥」	「嗯啊啊♥是的，更加♥移动吧♥哈哈♥」
%ANAME(MASTER)%は%ANAME(対象)%の身体を背後から抱き上げると、秘裂を貫いて愛撫しながら腰を突き上げた…	%ANAME(MASTER)%从背后抱住了%ANAME(対象)%的身体，一边抚摸着秘裂的身体一边抬起了腰…
「んぁあぅっ♥　ぁ、ふぁあんっ♥」	「嗯啊啊啊♥啊，啊啊♥」
%ANAME(対象)%の膣内がキュッと締まり、ペニスの挿入を拒もうとする	%ANAME(対象)%的阴道内紧紧地勒紧，拒绝阴茎的插入
背面座位で激しいストロークしながら、%ANAME(対象)%は首をこちらに向かせてキスをおねだりする	在后座上激烈的击球，%ANAME(対象)%的头朝这边来要求接吻
しかし結局は逆効果となり、%ANAME(MASTER)%のペニスは更に硬さを増す	但结果却适得其反，%ANAME(MASTER)%的阴茎更加坚硬
「！？ ちょっ……まだ、大きく……！？」	「！？ 等一下……还很大……！？」
興奮が高まる度にグラインドも淫らになっていき、ピッチも短くなっていく	随着兴奋度的高涨，滑翔伞也变得淫荡起来，间距也变短了
「や、はぁんっ♥　すごっ♥　こんなのっ♥　おかしく…なっ、ちゃう♥♥」	「呀，哈哈♥太厉害了♥这样啊♥奇怪…变、变♥♥」
迫る絶頂に達するべく、二人は発情した獣のようにピストンを激しくしていった…	为了达到逼近的绝顶，两人像发情的野兽一样激烈地进行着活塞运动…
「んっ♥　ぁあっ♥　気持ち、いいっ……♥」	「嗯♥啊啊啊♥心情很好……♥」
「ぁっ♥　んぁっ♥　……ねぇ、ここも……ね♥」	「啊啊♥嗯啊啊♥　……喂，这里也是……对吧♥」
動くのを%ANAME(対象)%に任せ、%ANAME(MASTER)%は隆起する%ANAME(対象)%の乳首を指でつまんだ	%ANAME(MASTER)%把行动交给了%ANAME(対象)%，用手指捏住了隆起的%ANAME(対象)%的乳头
「んっ♥　ぁ、はぁんっ……♥」	「嗯♥啊，哈……♥」
ビクンと身体を跳ねさせる%ANAME(対象)%をさらに刺激してやる為に乳頭を軽く引っ張った	为了进一步刺激扑腾身体的%ANAME(対象)%，把乳头轻轻拉了一下
「きゃっ♥　い、いきなりはげしくっ　しないでっ……♥」	「客人♥喂，不要一下子就秃顶了……♥」
余裕が無くなった%ANAME(対象)%の動きは激しく大胆なものになっていき、その刺激で%ANAME(MASTER)%も射精感を高めていった…	没有了富余的%ANAME(対象)%的动作变得非常大胆，因为这个刺激%ANAME(MASTER)%也提高了射精感…
「っくぅ♥　はぁぁああんっ♥」	「嗯，嗯♥哈哈啊啊♥」
%ANAME(対象)%の体重を感じながら腰を動かす	一边感受着%ANAME(対象)%的体重一边活动腰
「んぁっ♥　はぁっ♥　……ねぇ、今度は私が動くから…♥」	「嗯啊啊♥哈♥　……喂，这次我要动了…♥」
そう言うと%ANAME(対象)%は腰を上下に動かし始めた	这样说着，%ANAME(対象)%开始上下移动腰
「あぁっ♥　貴方のがっ♥　膣内でっ……♥」	「啊啊啊♥你管索引♥阴道内……♥」
「%ANAME(MASTER)%っ♥　んぁっ♥　%ANAME(MASTER)%っ……♥」	「%ANAME(MASTER)%♥嗯啊啊♥%ANAME(MASTER)%……♥」
「んっ♥　はげし♥　ぁあっ♥」	「嗯♥秃子♥啊啊啊♥」
性器を打ち付け合うごとに撒き散らされる愛液に欲情しつつ、%ANAME(MASTER)%はピストンを速めた	每打一次生殖器，就会对散落的爱液产生欲望，而%ANAME(MASTER)%则加速了活塞运动
「すご、ぉいっ♥♥♥　……奥に、当たってる……♥」	「好厉害，好厉害♥♥♥　……猜到里面了……♥」
%ANAME(MASTER)%の首に腕を回してくる%ANAME(対象)%	在%ANAME(MASTER)%的脖子上转动手臂的%ANAME(対象)%
「ぁっ♥　あっ♥……ひぅぅううんっ♥」	「啊啊♥啊♥……嗯，嗯♥」
艶めかしい声で喘ぐ%ANAME(対象)%は、貪るように自らも腰を淫らに動かしていく…	因娇艳的声音而喘息的%ANAME(対象)%，像贪图一样自己也淫荡地活动着腰…
%ANAME(対象)%の後ろから胸を揉む%ANAME(MASTER)%	从%ANAME(対象)%背后揉胸的%ANAME(MASTER)%
「やっ♥　おっぱい……揉まないで、感じちゃうからぁ……♥」	「哎呀♥乳房……不要揉，因为感觉到了……♥」
%ANAME(対象)%の胸の感触を楽しみながら腰を小刻みに振り続ける	一边享受着%ANAME(対象)%心中的触感，一边小心谨慎地摆动着腰
「や♥　だめぇ♥♥　膣内と♥　おっぱい同時に♥　なんてぇっ……♥♥♥」	「蚊帐♥不行啊♥♥阴道内和♥同时乳房♥什么啊……♥♥♥」
「あっ♥　ぁ……♥」	「啊♥啊……♥」
「んっ…♥！中に出てる…これは”出来る”かもしれないですね…♥？」	「嗯…♥！里面有…这可能是"可以"吧…♥？」
トロトロの肉壷に捉えられたペニスを激しいグラインドで腰を振る	用激烈的滑翔机摇晃着被抓住在托罗肉壶里的阴茎
「………朝…？」	「………早上…？」
「…………ちゅっ♥」	「…………啾♥」
「………おはよう%ANAME(MASTER)%♥」	「………早上好♥」
「…………ふふっ♥」	「…………呵呵呵♥」
お互いまどろみから目覚め切ると、いつもの仕事の準備をするために二人は服を着始める	两个人从互相的窗户中醒来，为了准备平时的工作，两个人开始穿衣服
支度を終えた%ANAME(対象)%は不意に%ANAME(MASTER)%に軽く口付けすると、笑顔で一足先に退出していった…	准备结束后的%ANAME(対象)%突然轻轻地吻了%ANAME(MASTER)%，笑着先走了一步…
ふと唇に柔らかい感触がしたので、眠っていた%ANAME(MASTER)%は瞼を開く	突然嘴唇有了柔软的触感，睡着的%ANAME(MASTER)%睁开了眼睑
ぼやけ気味の視界には、今まさに唇を重ねている%ANAME(対象)%の顔が映った	在朦胧的视野中，现在正是双唇重叠的%ANAME(対象)%的脸
%ANAME(MASTER)%が目を覚ましたのに気付くと、%ANAME(対象)%は恥ずかしげに微笑んだ…	当注意到%ANAME(MASTER)%醒了的时候，%ANAME(対象)%害羞地微笑了…
唾液を交換するほどの濃厚なキスを終え、%ANAME(対象)%の顔を見るとどうやらスイッチが入ってしまったようだ	结束了激烈的交换唾液的吻后，看到了%ANAME(対象)%的脸，好像被开关打开了
仕事の準備もあるので発情した%ANAME(対象)%を我慢させた後、腕に抱きつく%ANAME(対象)%と共に部屋を出た…	因为有工作的准备，所以让发情的%ANAME(対象)%忍耐住后，和抱在手臂上的%ANAME(対象)%一起离开了房间…
お目覚めのキスで目覚めた%ANAME(対象)%は鼻歌交じりに着替えを終え、%ANAME(MASTER)%の腕に甘えるように抱きつく	从唤醒的吻中醒来的%ANAME(対象)%哼着小曲换完衣服，像在%ANAME(MASTER)%的手臂上撒娇般地抱住他
その後、気分の乗った二人はギリギリの時間までイチャイチャし続けた…	在那之后，心情愉快的两个人一直在调情到最后一刻…
