%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
「私は夢のあなたも好きですが、起きたあなたの方がもっと好きなのですから」	「我也喜欢梦中的你，但我更喜欢醒了的你」
「おやおや随分と暇そうですねぇ」	「哎呀哎呀，好像很闲啊」
「ならここは１つクイズを出してあげましょう」	「那么，这里就给你出一个小问题吧」
「以下の３名のうち"夢は基本的に宗教的な現象"としてのは誰でしょう？」	「以下3名中提出了"梦基本上是一种宗教现象"的是谁呢？」
[0]ジークムント・フロイト　[1]カール・グスタフ・ユング　[2]エーリッヒ・フロム	[0]西格蒙德·弗洛伊德[1]卡尔・古斯塔夫・荣格[2]艾里希·弗洛姆
「残念ながら不正解です、正解はカール・グスタフ・ユングさんですね」	「很遗憾，不正确，答案是卡尔・古斯塔夫・荣格」
「ちなみにフロイトは精神分析の創始者でしてユングさんの師匠ですね」	「顺便说一下，弗洛伊德是精神分析的创始人，也是荣格的师傅」
「ただ終生無神論者で袂を分かつ事になりまして…」	「只是因为一辈子都是无神论者而分道扬镳了…」
「おっと、これ以上は話が長くなりそうなので止めておきましょう」	「哎呀，再聊下去的话可能会很长，所以还是算了吧」
「おや、正解ですねぇ。まさかご存知だとは…」	「啊，是正确答案呢。难道你知道吗…」
「彼はフロイトさんの著書『夢判断』に触れて精神分析に関わるようになったとか…まぁ一説ですが」	「他接触了弗洛伊德先生的著作《梦判断》，并开始从事精神分析…嘛，有一种说法」
「彼にによると、人間の無意識のさらに深い領域には全人類に共有されている集合的無意識があり…」	「据他说，人类无意识的更深层的领域里有着全人类共有的集体无意识…」
「古代から継承されたアーキタイプ（元型）が宗教・神話・夢といった象徴の形で現れるとか」	「从古代继承下来的原型是以宗教、神话、梦等象征形式出现」
「まぁつまり宗教的考えに基づいているのですが…これが原因で…」	「嘛，也就是基于宗教的想法…因为这个原因…」
「とまぁこれ以上は話が長くなりそうなので止めておきましょう」	「好了，我想说的内容可能会太长，我就不讲了。」
「エーリッヒ曰く、象徴というのは人類がかつて使っていた言語だが現代人はそれを忘れてしまっているのであって…」	「艾里希说，象征是人类曾经使用过的语言，但是现代人却忘记了它…」
「夢というのはその象徴という言語で語られる無意識の経験であるとし…」	「梦是用象征这个语言表达的无意识的经验…」
「象徴の解釈によりその真の意味を理解することが可能だとするとの事です」	「根据象征的解释，可以理解其真正的意思」
「ちなみに彼の著書で有名なのは『自由からの逃走』というのですが…」	「顺便说一下，他的著作中有名的是《从自由中逃走》…」
「これ以上は話が長くなりそうなので止めておきましょう」	「再聊下去会很长，所以还是算了吧」
「そういえばどうして初夢に一富士二鷹三茄子と見ると縁起が良いかご存知です？」	「这么说来，你知道为什么在初梦中看到富士山、鹰、茄子会吉利吗？」
「富士山は日本一高く、鷹は空高く舞い上がり、茄子は「事を成す」に通じるからです」	「因为富士山是日本最高的，老鹰在天空中飞舞，茄子和"成事"相通」
「ちなみに富士山、鷹狩り、初物の茄子を徳川家康が好んだからって説もあるのですよ」	「顺便说一下，也有说法认为是因为德川家康喜欢富士山、猎鹰、初熟的茄子」
「さらに言うと一富士二鷹三茄子には四扇五煙草六座頭って続きがありまして…」	「更进一步说，一富士山、二鹰、三茄子有四扇五烟草六座头的延续…」
「富士と扇は末広がり、鷹と煙草の煙は上昇する（運気上昇）、茄子と座頭は毛がない（怪我無い）」	「富士和扇子逐渐扩大，鹰和香烟的烟会上升（运气上升），茄子和座头没有毛（没有受伤）」
「…まぁつまる所、私の協力がないとここまで都合の良い夢なんてそうそう見れないって事ですね」	「…总之，如果没有我的协助是做不到这么好的梦的」
「夢の世界において根底部分を辿ればありとあらゆる夢を見る生命の夢に行き来できます」	「在梦的世界里，如果你追寻它的本质，就能找到所有的梦。」
「少し昔にそれを利用して人間の夢と犬の夢を混ぜて反応を楽しもうと思った事がありましてね」	「在很久以前，我曾想过利用这个把人类的梦和狗的梦混合起来，来享受它们的反应。」
「犬の方は困惑していましたが、人間の方はあたかも自分が犬だと錯覚して走り周っていました」	「虽然狗很困惑，但是人类却误以为自己是狗，一直在跑」
「どうにも人間は他の動物になりきるのが好きなようですね…特に鳥は人気でしたよ」	「人类好像很喜欢成为其他动物呢…特别是鸟很受欢迎哦」
「おやおや、興味を持たれましたか…では今夜あたり鳥になってみますか？」	「哎呀哎呀，你有兴趣吗…那么今晚要不要试着变成鸟？」
「私は夢を食べるのですが、味も千差万別です」	「我吃过的梦，味道千差万别。」
「しかし夢にのめり込んだ人間、すなわち夢そのものになった人間は格別でしてね」	「但是沉迷于梦中的人，也就是成为梦本身的人是特别的」
「極々稀に食べる事が出来るのですが、食べればとても他には見せれないくらい発狂しますね」	「虽然极少能吃到，但吃了之后就会疯狂到其他都看不上的程度。」
「それくらい量と味双方とも素晴らしいのです」	「量和味道都很棒」
「……だからこそ、永遠亭で売られている胡蝶夢丸の乱用は危険なのですよ」	「……正因为如此，乱用永远亭贩卖的蝴蝶梦丸是很危险的」
「ドレミー・スイートの妹はファソラシ・スイート…ですか…」	「哆来咪·斯威特的妹妹是法索拉·斯威特…是吗…」
「なんというか単純過ぎるし…普通に腹が立ちますね」	「怎么说呢，太鸡蛋了…有点生气呢」
「もう少し捻りが欲しいですね、せめてファソラシ・ビター」	「希望能再稍微变一下，至少法索拉·比特」
「…って私も単純過ぎますね。 まぁそもそも私に妹なんていませんが」	「…我好像也太简单了。嘛，我本来就没有妹妹」
「人里に行った時にですね、スカートの下に尻尾を隠していたのですが」	「去村庄的时候，裙子下面藏着尾巴」
「寺小屋の子供にスカートめくりされたのですよ」	「寺小屋的孩子把裙子掀起来了」
「直ぐに上白沢さんが叱ってくれましたが、凄く恥ずかしかったですねぇ」	「马上上白泽老师斥责了，不过，非常害羞啊」
「まぁ主犯の子には三日ほどおねしょが止まらないくらいの悪夢を見せてあげましたが…」	「嘛，给主犯的孩子看了三天左右尿床都停不下来的噩梦…」
「金欠なのですか、それは大変ですねぇ」	「是缺钱吗，那可不得了啊」
「おやおや良い考えがある？」	「哎呀哎呀，有好的想法吗？」
「私がプロデュースした枕を売れば大儲けって…単調ですねぇ」	「如果把我制作的枕头卖出去的话，就赚大钱了…很简答呢」
「確かに枕に関してのアドバイスくらいなら出来ますが」	「当然，我可以给你一些关于枕头的建议」
「そもそも枕売り程度じゃ小遣い稼ぎ程度が限界でしょう」	「说到底，卖枕头赚点零花钱就是极限了吧」
「月にサグメっていう、ちょっと変わった知り合いがいるのよね」	「月里有个叫沙格梅的，有点奇怪的朋友呢」
「口に出すと物事を反転させちゃうから普段から無口で…」	「因为说出口的话会让事情反转，所以平时就沉默寡言…」
「昔は意思疎通に手紙やジェスチャーと色々な手段を使ったのよねぇ」	「以前为了沟通，用了信、手势等各种各样的手段呢」
「最近では"すまほ"って呼ばれる機械が月で流行っているらしくてね」	「最近被称为"智能手机"的机器好像在月球上很流行呢」
「彼女ったら凄く気に入ったらしくて鬱陶しいくらい勧めて来たわ」	「我好像喜欢得不得了，一直推荐得我心烦意乱的」
「実はここだけの話、帽子マニアなのです私」	「其实我是个帽子迷」
「今被っている帽子以外にもお気に入りが幾つかあるのですよ」	「除了现在戴的帽子以外，还有很多喜欢的款式哦」
「キャペリンにマリンハットと色々種類もあって、プライベートで楽しんでいるの」	「卡佩林还有海洋帽，种类很多，我自己很喜欢」
「そうそう、今度一緒に貴方の帽子を選びに行かない？ 人里の外れに良いお店があるの」	「对了对了，下次一起去选你的帽子吧？人之里外头有家不错的店」
「そういえば遠い異国のお話ですが、人の夢を買って結晶化したものを売り歩く奇術師がいるとか」	「这么说来这是一个遥远的异国故事，有一个专门买卖人的梦结晶化的东西的魔术师」
「私からすれば食い扶持を潰してくれる存在なので看過出来ない存在なのですが…」	「在我看来是会破坏掉我的粮食供应的存在，所以不能忽视…」
「なんでもその奇術師が"世界一高価な夢"とやらと関係しているそうでして」	「据说那个魔术师和"世界上最贵的梦想"有关系」
「世界一高価な夢…少し気になりませんか？ 一体どんな味がするのかって…えっ、しない？ あぁそう」	「世界上最贵的梦想…有点在意吗？到底是什么味道呢…诶，不做吗？啊，是吗」
「私の持っている手帖が気になるのですか？」	「你在意我的手册吗？」
「フフフ……これは夢日記、すべての人の夢が記憶されているのですよ」	「呼哧呼哧……这是梦日记，记住了所有人的梦」
「そういえばスペルカードを考える時にドリームボックスって案がありましてね」	「这么说来，考虑符卡的时候有一个叫做梦之箱的方案呢」
「ドリームボックスって聞くと、夢や希望が溢れる箱や宝くじってイメージが出ますよね」	「听到梦之箱的话，就会联想到充满梦和希望的箱子和宝物吧」
「残念ながら意味は残酷でして、顕界での家畜を安全、能率的かつ安価に屠殺するためガス室を指すのですよ」	「遗憾的是，它的意思很残酷，是指用来安全、高效、廉价地屠杀现世的家畜而设置的煤气室」
「いわば人が飼っていたペットを捨てる際に送られる処理場の道具です」	「换言之，这是在丢弃别人养的宠物时被送去处理的道具」
「夢の箱、安らかに眠れるように…最後だけでもいい夢が見られますように…って考えでしょうが」	「梦之箱，为了能安稳入睡…希望最后也能做个好梦…是这样想的吧」
「向こうから見れば自己満足も良い所ですよね、ホント勝手な都合です」	「从对方的角度来看完全就是自我满足，真是便利的自私啊」
「閉じ込める弾幕をイメージしましたが、使ってやりたいですね」	「虽然想着禁用这个弹幕，但还是想用一下」
「この前ですがひょんな事から外の世界の本を頂きました」	「虽然是之前的事，但意外地收到了外面世界的书」
「ドグラ・マグラって本で有名な奇書とか」	「德格拉·马古拉是一本书中有名的奇书」
「夢に関して取り扱っているらしいので読むのが楽しみですねぇ」	「因为好像在处理关于梦的事情，所以很想读呢」
「実は私、元人間なんですよ」	「其实我原来是人类」
「今もある所で私の本体が朽ちる事はないが、目覚める事もない永遠の眠りについていて…」	「现在我的本体在某个地方，虽然不会腐朽，只是永远的沉睡着，也不会醒来…」
「ドレミー・スイートになるという幸せな夢を見ています」	「我做着一个幸福的梦，梦见自己变成了哆来咪·斯威特」
「…そんな困惑しないでくださいな、嘘に決まっているじゃないですか…ねぇ」	「…请不要那样困惑啊，这不是骗人的吗…喂」
「私の妖怪としての見た目は獏同士のデザインが合わさって出来ているのです」	「我作为妖怪的外表是貘们的设计相结合而成的」
「まぁ獏という妖怪自体、色んな動物の合成物みたいなものなのです」	「其实，貘这种妖怪本身就是各种动物的合成物」
「ぬえさんとはちょっとシンパシーを感じますね」	「和你有点共鸣呢」
「獏は他人の淫夢を見て興奮するような変態じゃないです、勘違いしないでくださいよ？？」	「貘并不是那种看到别人的淫梦就会兴奋的变态，请不要误会哦？？」
「こっちは貴方の夢の内容を握ってるんですよ？夢日記朗読してもいいんですよ？？」	「我掌握了你梦的内容哦？会把梦日记读出来的哦？？」
「妖怪は生殖機能がないわけではないのです。その気になれば性行為で子を成すことも出来ます」	「妖怪并不是没有生殖功能。如果在意的话，可以通过性行为生孩子」
「生殖機能がなかったら香霖堂の森近霖之助さんなんかも産まれてないでしょう？」	「如果没有生殖功能的话，香霖堂的森近霖之助也不会出生吧？」
「…そう考えると私が子供を作ればどういう子になるのでしょうかね」	「…这么一想，我要是生了孩子，会变成什么样的孩子呢」
「二度寝してる人多すぎません？夢の中から起こしたほうがいいかしら？」	「睡回笼觉的人太多了吧？从梦中叫醒比较好吗？」
「まぁ疲れているからしょうがないのですかねぇ」	「嘛，因为累了所以没办法啊」
「最近二度寝が出来ていない？」	「最近没有睡回笼觉吗？」
「さぁ一体誰のせいでしょうねぇ…」	「那到底是谁的错呢…」
「ところでこの紫の物体、なんだと思います？」	「你觉得这个紫色的物体是什么？」
「これ最新の低反発枕なんですよ」	「这是最新的低反抗枕头哦」
%ANAME(MASTER)%「ドレミーベイベぇえええ！！！！！！」	%ANAME(MASTER)%：「哆来咪宝贝！！！！！！」
ドレミーベイベー！	哆来咪宝贝！
クラウンピース「どしたのwasawasa！」	克劳恩皮丝「怎么了这么吵闹！」
ヘカーティア「なんでもナーミン」	赫卡提亚「什么事都没有」
純狐「やるならカモカモ！」	纯狐「要做的话就comecome！」
サグメ「なんだとドーン！」」	萨戈梅「什么啊，咚！」
「はっ、私は一体何をっ！？」	「哈，我到底在干什么！？」
「薬物依存の夢でも食べちゃったからかしら…」	「也许是因为吃了药物依赖的梦吧…」
「えっ、私の能力を使えば寝ている人物の夢を他の人間が見る事も可能ではないかって？」	「诶，如果用我的能力的话，其他人是不是也可以梦见正在睡觉的人？」
「うーん、その可能性は考えた事が無かったですねぇ」	「嗯，没有考虑过那个可能性呢」
「いや仮に出来たとしても、それはプライバシーに反しますねぇ」	「不，就算做成了，那也是违反隐私的」
「そういう事で諦めてくださいな」	「请放弃那样的事吧」
「お茶を淹れてくださったのですか、ありがとうございます」	「您沏茶了吗，谢谢」
「今日は麦茶ですね、サッパリしてて飲み過ぎちゃいそうね」	「今天喝麦茶喝得太爽了」
「そういえばライ麦って麦畑にあった雑草が刈られないように変化したものらしいわね」	「这么说来，黑麦好像是为了不让麦田里的杂草被除掉而变化的东西呢」
「そうそう、昨日から人里のパン屋でライ麦パンが売られ始めたそうよ、買いに行かない？」	「对了对了，听说昨天开始在村庄的面包店卖黑麦面包了，去买吧？」
「この格好で寒くないのかって？」	「这身打扮不冷吗？」
「安心してください、冬はもこもこで暖かい帽子を被るので」	「请放心，冬天会戴上毛茸茸的温暖帽子」
「勿論、夏はメッシュの風通しの良い帽子です」	「当然，夏天是网状的通风良好的帽子」
「えっ、服装？ そんなの関係ないでしょ」	「诶，衣服？那没关系吧」
「そういえばバクって撫でられるのが極度に好きらしいですよ」	「这么说来，貘好像非常喜欢被抚摸呢」
「私ですか？ さぁどうなんでしょう」	「我吗？怎么样呢?」
「おやおや早速お試しになられますか…どうぞご勝手に…」	「哎呀哎呀，要马上试试吗…请随意…」
「……あぁ…良い、これすっごい…あぁー…良い…ふぁああああ」	「……啊…好棒，这个好厉害…啊…好棒…啊啊啊啊啊啊」
「昔、夢で脅かした人間が不眠症になってしまったのですよ…」	「以前，在梦中受到威胁的人得了失眠症…」
「なんだか哀れに思って、その人間が寝るように色々と嗾け続けたのですが上手く行かず…」	「总觉得很可怜，虽然试着教唆那个人睡觉，但是进展不顺利…」
「面倒臭くなって、この本の角で思いっきり叩いてやったんですよ」	「我怕麻烦，就用这本书的一角狠狠地敲了一下」
「すると気絶したのですが、結果としては寝たのと同義なので大成功でしたね」	「然后就昏厥了，结果和睡觉是一样的，所以非常成功」
「それ以来、その人間はより寝なくなったのですがね」	「从那以后，那个人就更加不肯睡觉了」
「雨ですね…こんな日は内務が捗りますね」	「下雨了呢…这样的日子内务很顺利啊」
「雨ですね…こういう日は水が夢に現れやすいんですよねぇ」	「下雨了呢…这样的日子水很容易在梦里出现呢」
「そして人里の子供たちが2割増しでおねしょをしちゃうのです」	「而且村庄里的尿床的孩子们会增加2成」
「一部の方々は尿意で起きてしまったりもしますね」	「也有一部分人因为尿意而起床的」
「そして雨の日の夢はどうにも水っぽい…という事はないです」	「而且下雨天的梦总是水汪汪的…尽是这种事」
「私が持っている夢魂が風船みたい…ですか」	「我拿着的梦魂就像气球一样…是吗」
「うーん、試してみましょう。 ふっ、はっ、んっ、このっ」	「嗯，试试看吧。嗯，是，嗯，这样」
%ANAME(対象)%は持っている夢魂を捻じ曲げたり結び合わせ形作っていく…	%ANAME(対象)%将拿着的梦魂扭曲并绑在一起…
「ほら出来ました、簡単な出来ですが犬です」	「看，做好了，简单的做了个狗出来」
夢魂で形作られた犬はグニャグニャと蠢いてはいるものの形を保ってはいる	用梦魂做成的狗虽然在不停地蠕动，但仍然保持着形态
「…この夢魂犬、今度の宴会芸に使えそうですね」	「…这只梦魂犬好像可以用于这次的宴会表演呢」
( _,(　,ノﾙノ)ﾉ)ﾉ　　ﾎﾟｲｰ	( _,(　,ノﾙノ)ﾉ)ﾉ　　啵噫ｰ
/oj oooi.o7つ　　　　　＜もう夢の元あげるから%ANAME(MASTER)%が捏ねて作ってよ…	/oj oooi.o7つ　　　　　＜已经到梦的源头了，%ANAME(MASTER)%不要再揉了…
「あら……糸屑がついてるわね」	「哎呀……有线头呢」
「……はい、とれた」	「……好了，已经弄掉了」
「いや私の服に付いてるのは糸屑の塊ではないですから」	「不，这不是我衣服上的线头」
「えぇ…今日は武闘訓練をするのですか…」	「诶…今天要进行武斗训练吗…」
「そういう荒事は苦手なのですがねぇ」	「我不擅长那种粗暴的事情呢」
「さて今日はどのスペルカードを使おうかしら…」	「那么今天用哪个符卡呢…」
「今日は兵法学習(开始)予定ですか」	「今天打算学习兵法吗」
「うーん、夢の世界って戦いとは基本無縁でしたので慣れないですねぇ」	「嗯，梦的世界和战斗基本上是无缘的，所以不习惯呢」
「これを機に勉学に励むとしましょうか」	「以此为契机努力学习吧」
「昔、夢の世界に月の住人達を避難させた事があったのですが…」	「以前，让月亮的居民们在梦的世界里避难过…」
「その際に地獄の女神が現れ月の住人達を夢の中に閉じ込めてしまったのですよ」	「这时地狱女神出现，把月亮的居民困在了她的梦中。」
「あの時は色々と大変でしてねぇ…その対応に追われて右往左往するハメに…」	「那个时候真是各种各样的辛苦啊…不得不为了对付那个东跑西窜的，哈啊…」
「その経験からか政治的な関心…もとい理解が深まりましたね」	「也许是因为有过这样的经验吧…也加深了理解吧」
「月の異変が起きる少し前の事なのですが、地獄の女神が夢の世界に遊びに来た事があるのですよ」	「这是发生月之异变前不久的事情，地狱女神来梦之世界游玩」
「ヘカーティアって言うのですが、色々と夢の世界について聞かれましてねぇ」	「虽然说是赫卡提亚，但是被问到了很多关于梦的世界呢」
「逆に相手が地獄の女神だった事もあって、地獄についても色々聞かせて頂きましたよ」	「相反，因为对方是地狱女神，关于地狱也听了很多」
「その時は仲良くなってお別れしたのですが…はぁ、我ながら迂闊だったわ…」	「那时候觉得谈得不错就分开了…啊，连我自己都觉得大意了…」
「…実は私、スペルカードで戦ったのって前の異変が初めてだったのですよ」	「…其实我是第一次用符卡战斗的」
「だって当然じゃないですか、夢の世界に誰かが来る事自体無いのですから」	「因为这不是理所当然的吗，梦的世界里根本没有人会来」
「スペルルール自体は知っていたのですが、用意していませんでしたからねぇ…」	「虽然我自己知道符卡规则，但是没有准备…」
「その場で相手の夢を通じて戦ってきたであろう兎達をモチーフにしたり…」	「在那次跟兔子对战的梦境里…」
「自分をモチーフにしたスペルカードを即興で出したりと大変でしたよ」	「要马上拿出以自己为主题的符卡，真是很不容易啊」
「だからスペルカードの名前に入っている色にも対応した人物がいるわけで…」	「所以符卡的名字里的颜色也有对应的人物……」
「刈安色が鈴瑚さん、藍色が清蘭さん、蒼色が私というわけですね」	「刈安色是铃瑚，蓝色是清兰，蓝色是我」
「この服についてるぼんぼんが何故白黒なのかって？」	「这件衣服上的花纹为什么是黑白的呢?」
「これは昔、家で天ぷらを作っているときに焦がして…」	「这是以前在家做天妇罗的时候烧焦的…」
「流石にこれくらいのウソなら流石に分かりますよね、えぇ冗談です」	「果然，这种程度的谎言还是能明白的吧，哎，开玩笑的」
「これは悪夢と吉夢をそれぞれ現しているだけですよ」	「这只是分别呈现了噩梦和吉梦。」
「なんで服に付けてるんだって？」	「为什么要穿在衣服上？」
「今日は色々聞きたがりますねぇ…まぁそれはまたの機会に…」	「今天想问的事很多呢…那么下次有机会…」
「ねぇ……%ANAME(MASTER)%？」	「呐……%ANAME(MASTER)%？」
「あっ……べ、別に……」	「啊……没什么……」
「ただ……たまには、思ったから……」	「只是……偶尔也会想……」
「ねぇ？ %ANAME(MASTER)%は私のこと、好き？」	「喂？%ANAME(MASTER)%喜欢我吗？」
「…ふーん、好きなんだ…へぇ…」	「…呣呜，喜欢呐…诶…」
「え、えぇ…そうねぇ…」	「诶，诶…是啊…」
（あらやだ、完全に聞いて無かったわ…どうしようかしら）	（哎呀，完全没听啊…怎么办呢）
「そ、そうねぇ…人里の名物はごま蜜団子かしら？」	「是、是啊…村庄的特产是芝麻蜜团子吗？」
「……少し考え事をしていましてね」	「……请稍微考虑一下」
「他の方から見て私たちってどんな目で見られているのかってね…」	「从其他人的角度来看，是怎么看我们的呢…」
「いえ、くだらなくて考えるのを止めてしまいましたよ」	「不，太无聊了，我不想再想了」
「そうそう、前に戦った敵が手強かったのですよ」	「对了对了，之前战斗过的敌人很厉害」
「突貫して私を狙って来る一軍と遭遇してしまいましてね…」	「遇到了突击过来瞄准我的一军呢…」
「いやぁ…少しヒヤッとしましたよ流石に」	「哎呀…稍微有点害怕了」
「もう少し武力を上げておくべきでしょうかね…私」	「应该再提高一点武力吗…我」
「そういえば気になっている事があるのよねぇ」	「这么说来有在意的事情呢」
「月の異変があったでしょ？ あの時、兎の一人が月の都が夢の世界になっている事に気付いたの」	「月亮有异变吧?那时候，有一只兔子注意到月亮的都城变成了梦的世界。」
「それで人間たちを槐安通路への道に案内して色々探って来たのよねぇ」	「于是就把人们引到槐安通道的路上，找了很多东西」
「兎の割に色々知ろうとしてたけどバレてないのかしら…」	「虽然兔子知道了很多东西，但是没被发现吧…」
「あの子、地上の食事が好きって点で仲良くなれそうだから心配なのよ」	「那孩子喜欢吃地面上的食物，从这一点上看，可能会成为好朋友，所以我很担心」
「知り合いの仙人様からドーナッツを頂きました、一緒に食べませんか？」	「从认识的仙人那里得到了甜甜圈，一起吃吧？」
%ANAME(MASTER)%はシンプルな形のドーナッツを手に取った	%ANAME(MASTER)%拿起了形状简单的甜甜圈
「そのドーナッツはオールドファッションって言うそうです」	「据说那个甜甜圈是老式的」
「私、いつもそれを割れ目に沿って食べちゃうんですよねぇ」	「我总是沿着裂缝吃那个呢」
「サクサク感とモフモフ感の二重奏はたちまち%ANAME(MASTER)%もクセになるでしょう」	「松脆感和木屑感的二重奏很快就会让%ANAME(MASTER)%也上瘾吧」
「私が食べているのは何かって？ これはフレンチ・クルーラーです」	「我吃的是什么？这是法式甜甜圈」
「オールドファッションに比べてやんわりとした舌触りと噛み応えが特徴ですね」	「和以前流行的款式相比，柔和的口感和嚼劲是其特征」
「このシナモンと粉砂糖の優しい甘さが良いですよね…」	「这个肉桂和粉砂糖的温和甜味很不错…」
「えっ、そんなに食べて太らないのかって？」	「诶，吃那么多不胖吗？」
「冷静に考えてください%ANAME(MASTER)%、私妖怪ですから身体なんて割と好きに変えられるのですよ？」	「请冷静地想想，因为我是妖怪，所以身体是可以随意改变的哦？」
「極端に言えば老婆になる事も出来れば、赤子の姿にもなれますからねぇ」	「极端地说，既可以成为老婆婆，也可以变成婴儿的样子呢」
「ただ複雑な形になったり、極端な姿の入れ替わりはエネルギーを使いますのでしませんが」	「只是，因为变成复杂的形式，极端的姿态转换是耗费能量的，所以我不这么做。」
「それじゃあ今どうしてこの姿なのか？ あぁ…それは…秘密という事で」	「那么现在为什么是这个样子呢？啊…那是…因为是秘密」
「私、夢に干渉する方が苦手なんですよね…」	「我不擅长干涉梦…」
「えぇ…八雲紫です」	「诶…八云紫」
「夢と現の境界をあやふやにしていく輩で面倒で…」	「对梦想和现实境界模棱两可的家伙很麻烦…」
「注意しようとしてもお得意のスキマに消えて行くし」	「即使想要注意，也会消失在她拿手的隙间里」
「上手く話す機会を得てものらりくらりと話題を逸らしてきますからね」	「即使有机会好好说话，也会慢慢地转移话题。」
「ホント…あの方は苦手です…」	「真的…我不喜欢那个人…」
「大麻に覚せい剤…もとい薬物中毒者の夢はマズイです」	「大麻加兴奋剂…药物中毒者的梦很糟糕」
「率直に申し上げます、マズイです」	「恕我直言，很麻烦」
「脳が覚醒して様々な事を考え想像するのは良いのですが、夢になるとそれは酷いです」	「你的大脑清醒的时候，你可以想象各种各样的事情，但是当你做梦的时候，那就太糟糕了」
「塩と砂糖と酢と味噌と胡椒と醤油とソースと…色々な味をミキサーで混ぜたような味ですね」	「盐、砂糖、醋、味增、胡椒、酱油和调味汁…是用搅拌机混合各种味道的味道呢」
「なんで詳しいかって？　……最近食べたので」	「为什么这么详细？　……因为最近吃了」
「命蓮寺ってご存知ですか？ えぇ、あの妖怪寺の事です」	「你知道命莲寺吗？诶，是那个妖怪寺的事」
「仏道と関わる妖怪…ってのは私としては気になるもので夢を見に行った事があるのですよ」	「与佛道相关的妖怪…这对我来说是很在意的事情，所以去过她的梦哦」
「最初は徳を積む事を考えていたり、人間を油断させて喰おうと考えているのでは…と思っていたのですが」	「一开始是考虑积德的事，或者是想趁人不注意吃东西的事情…我是这么认为的」
「酒を浴びる様に飲む夢、肉や魚を食べ大きなゲップを吐く夢とおおよそ下手な人間より人間らしい夢でした」	「梦见自己喝酒，梦见自己吃肉吃鱼吃到吐，梦见自己比正常人更有人性。」
「うーむ、尼の方は普通ときどき悪夢程度でしたが他はおおよそ意外でしたねぇ」	「嗯，尼姑平时只是偶尔做恶梦而已，其他的都很意外呢」
「紅魔館ってご存知ですか？ えぇ、あの吸血鬼の館です」	「你知道红魔馆吗？啊，是那个吸血鬼馆」
「あそこの門番と私、実はかなり仲が良いのですよ」	「那边的守门人和我其实关系很好哦」
「同郷なのもありますが、一番は良く夢の世界に遊びに来る事ですね」	「虽然也有同乡的缘故，但最重要的是经常来梦境中玩。」
「夢に取り込まれず夢を制す、そんな気と胆力を持っていられましてね」	「有着不被梦所吸引而控制梦的气魄和胆识呢」
「だからか愚痴を聞く事もあれば、夢の世界でお茶をする事もありました」	「所以我有时会听她发牢骚，也会在梦中喝茶。」
「そしていつも起きる時は必ず同じ方に起こされるようで…」	「而且每次起来的时候都会被同一个人叫醒…」
「地底には人の心を読んだり、トラウマを再起させる方がいるそうですね…」	「据说在地底有读懂人心，让心灵创伤再次唤起的人呢…」
「もしその方が夢の世界に紛れ込んだりでもしたら…」	「如果那个人混入了梦的世界…」
「夢を見る全生命体がトラウマを再起し、全ての吉夢が悪夢になりそうですね」	「做梦的全部生命体都将重新经历创伤，所有的吉梦都会变成噩梦」
「恐ろしいわ…」	「好可怕啊…」
「ﾑﾆｬﾑﾆｬ……」	「呣涅呣涅……」
「夢の世界って上手く使えばどこにでも行ける中継地点になるのよねぇ」	「如果能很好地使用梦之世界的话，就能成为任何地方都能去的中转站了呢」
「それこそスキマ妖怪のスキマみたいにね」	「就像隙间妖怪的隙间一样呢」
「でも夢の世界はそれとは別に、他人になる事も出来るの」	「但是梦的世界和那个不同，你也可以成为别人。」
「これはちょっと分かり辛いけど、それをさせないのが私の本来の役割なのよねぇ…」	「这个虽然有点难懂，但是不让这么做是我本来的职责啊…」
「うーんこれが良いかな……それともこれかしら……」	「嗯，这个好呢……还是这个呢……」
「あぁ%ANAME(MASTER)%。　今日寝るときはこのアロマを焚いてみてください」	「啊，%ANAME(MASTER)%。今天睡觉的时候请试着点这个精油」
「フフフ……普段よりも数倍心地よい入眠をお約束しますよ」	「呼哧呼哧……保证比平时更舒服几倍的睡眠哦」
「EVER DREAM THIS MAN?っというものをご存知ですか？」	「EVER DREAM THIS MAN?你知道吗？」
「顕界では世界中の人の夢の中に出てくる同じ謎の男でしてね」	「在显界，他是世界上所有人的梦中出现的神秘男人。」
「眉が濃く、頭髪が薄くて不気味な感じな男性なんだけど…」	「眉毛很浓，头发很薄，是个令人毛骨悚然的男性…」
「始めはね、夢に出てくるだなんてデマだったのよ」	「一开始说它会在梦中出现，只是个谣言」
「でも西から東へ広まりに広まって、有名な都市伝説として定着しちゃったのよね」	「但是从西向东扩散开来，作为有名的都市传说被固定下来了呢」
「そしたら本当に夢に見る人が出てきちゃって」	「这样的话真的会成为出现在梦里的人」
「少しずつ夢の世界で実体が形成されて、遂に存在が確立しちゃったのよ」	「在梦的世界里实体渐渐形成，终于确立了它的存在」
「ある意味、妖怪が生まれるのと同じ手順で現れた夢の住人ですね」	「从某种意义上来说，是和妖怪出生时按照相同步骤出现的梦之住人」
